index,q1,q2,q3,q4,response
123,쿠사카 씨가 살해된 방법은?,도나카 씨가 쿠사카 씨를 살해한 방법은?,도나카 상의 트릭은 뭐야?,도나카 씨의 트릭은?,"도나카 씨는 뒤뜰에서 서성이다 와인셀러의 윗창문을 노크했어. 그때 쿠사카 씨는 경보를 해제하고 창문을 연 후, 뒤뜰로 불러냈지. 빈틈을 노려 살해한 그는 빼앗은 열쇠로 뒷문의 자물쇠를 채우고 다시 주머니에 열쇠를 되돌려놓은 거야."
124,도나카 씨가 쿠사카 씨를 살해했다는 증거는 뭐야?,도나카 씨에게 남아있던 살인의 증거는 뭐야?,쿠사카 씨를 살인한 범인에게 남은 증거는 뭐야?,쿠사카를 살해한 범인에게 남은 증거는?,"쿠사카 씨를 내려놓았을 때 와인이 깨졌고, 당연하게도 장대에 와인이 튀었지. 요컨대 장대 트릭이 발견되지 않도록 와인을 닦아 낸 거야. 자신의 이름이 새겨진 손수건으로!"
125,모리 아저씨에게 다카기 형사가 갚겠다고 한 건 뭐야?,다카기 형사가 모리 탐정에게 갚겠다고 한 건 뭐야?,모리 아저씨가 갚을 거면 빨리 갚으라고 다카기 형사에게 말한 건 뭐야?,다카기 형사는 왜 모리 탐정님에게 일에 대한 것은 갚겠다고 한 거야?,"왜냐하면 내가 모리 탐정님을 마취침으로 기절시켜 추리를 했는데, 그 과정에서 다카기 형사님이 좀 아파했거든. 헤헤."
126,마키 씨가 죽은 상황은?,마키씨가 살해된 채로 발견된 상황은?,마키씨는 어떻게 발견되었어?,마키 씨는 살해된 채로 어떻게 발견된 거야?,마도카 짱이 말하길 산단베키의 덤불 속에서 가슴에 나이프를 맞은 채로 발견되었어.
127,마키 씨를 살해한 범인은?,마키 씨를 살해한 사람은?,마키 상을 살해한 사람은 누구야?,마키 상을 살해한 사람은?,미야하라 카나코 상이야.
128,카나코가 마키를 살해한 방법은?,카나코 상이 마키를 어떻게 살해한 거야?,카나코 상은 마키 상을 어떻게 살해했어?,마키 씨를 어떻게 살해했어?,마키 씨가 마도카 씨를 살해하려는 계획을 역으로 이용해 마키 씨를 살해한 거야.
129,카나코 상의 범죄의 증거는 뭐야?,카나코 상이 범인인 이유가 뭐야?,카나코 상이 왜 범인이야?,카나코 상이 범인이란 증거는?,"미카 씨의 특별한 립스틱 색깔 만은 따라할 수 없었어. 그래서 그 립스틱을 변장을 위해 발랐고, 타액이 묻어 있고 입술에도 남아있어서 알 수 있었지."
130,핫토리 헤이지는 어디 살아?,핫토리는 어디 살아?,핫토리는 어디 거주해?,핫토리가 거주하는 곳은?,오사카야. 사투리가 심해서 목소리를 흉내낼 땐 어렵다니까.
131,어떤 이유로 핫토리가 얘기한 레스토랑 오픈파티에 가게된 거야?,코난은 어떤 이유로 핫토리가 얘기한 레스토랑 행사에 가게 된 거야?,누굴 보려고 코난은 핫토리가 얘기한 레스토랑 행사에 참석한 거야?,핫토리가 얘기한 레스토랑 파티에 왜 가기로 한 거야?,"구미의 철벽, 명 골키퍼인 레이 커티스 씨 때문이지. 헤헤."
132,오사카에서는 벨트를 뭐라고 불러?,오사카에서 벨트를 부르는 말은?,오사카의 아저씨 아줌마가 벨트를 부를 때 쓰는 단어는?,오사카 사람들이 벨트를 부를 때 쓰는 단어는?,반도야 반도.
133,오사카의 레스토랑 파티에서 사망한 사람은?,오사카 레스토랑 파티에서 살해된 피해자는?,레스토랑 파티에서 살해된 피해자의 이름은?,오사카의 레스토랑 파티에서 살해된 신문 기자는?,아메리카의 신문 기자인 에드 메케이가 살해되었어.
134,가능성이 없는 걸 제외하고 남는 게,설령 믿어지지 않는다 해도 그게 진짜라고,설령 믿어지지 않는다 해도 그게 진짜라고 그렇게 말한 사람은 누구야?,설령 믿어지지 않는다 해도..,가능성이 없는 걸 제외하고 남는 게 설령 믿어지지 않는다 해도 그게 진짜라고. 나야. 내가 그렇게 말했지. 오사카의 레스토랑 사건에서 내가 그걸 잠깐 잊어버렸지 말이야. 그렇지만 증거가 모든 걸 가리켰지.
135,축구선수 레이가 죽일 때 사용한 트릭은?,축구선수 레이의 트릭은?,코난이 좋아하는 축구선수 레이의 범죄 트릭은?,축구선수 레이의 범죄 트릭은?,"대걸레로 장치를 하고 방에 숨겨두었던 권총과 축구공을 가지고 계단을 올라가, 2층의 방의 불을 키고 2번 방의 불은 다른 사람이 켜지 있지 않은 걸 보게 한 다음 에드의 방에 노크를 했고 축구공을 2층 계단 입구에 두고 차서 한층 밑의 2번째 방 불을 켰어. 그 다음 에드를 살해하고 방에다 권총을 던져버렸다."
136,레이가 범인인 것을 눈치채게 된 결정적인 계기는?,축구선수 레이가 범인인 것을 나타낸 피해자의 다잉메시지는?,축구선수 레이를 가리킨 피해자의 다잉 메시지는?,레이가 범인이라는 다잉메시지는?,에드의 오른손 세 손가락은 초밥을 먹을 때의 동작이고 왼손으로 잡은 벨트는 반도를 가리키죠. 초밥 집에는 점원들끼리 사용하는 암호가 있는데 그 중에 8을 의미하는 말로 사용하는 반도라는 암호가 있어. 그건 등 번호 8번인 레이 커티스가 범인이라는 다잉메시지야.
137,레이가 범인이라는 마지막 증거는?,축구선수 레이가 범인이라는 마지막 증거는 뭐야?,축구선수 레이가 범인임을 가리키는 마지막 증거는 뭐야?,축구선수 레이가 범인인 마지막 이유는 뭐야?,"초연은 권총이 오토매틱이면 약협이 튀어나올 때 함께 나오는 정도이지만, 리볼버일 경우에는 총신을 중심으로 방사상으로 흩어지게 되죠. 물론 구두에도요. 범행 당시에 구두를 신고 있던 레이는 공을 정확히 차야 해서 갈아신지 않았기 때문에 결정적 증거가 나올 수 있었던 거예요."
138,축구선수 레이가 마약으로 인해 몸이 망가졌다는 걸 어떻게 알았어?,레이가 마약을 했다는 것을 어떻게 알았어?,레이가 마약으로 몸이 망가진 것을 어떻게 눈치챘어?,레이가 망가진 이유가 마약 때문이란 걸 어떻게 알았어?,선하품과 관절통은 마약의 금단 증세예요. 레이가 화장실에서 나올 때 지병인 왼쪽 무릎이 아닌 오른쪽 무릎을 누르며 아파하는 걸 보고 알았어요.
139,레이는 왜 살인을 저지른 거야?,레이는 왜 에드를 살해했어?,레이가 에드를 살해한 이유가 뭐야?,에드가 레이에게 살해당한 이유는 뭐야?,거짓 기사의 충격으로 아내를 자살하게 만든 에드에게 복수하기 위해서라고 해.
140,신간선 호송 중 범죄자를 죽인 사람은?,신간선 호송 중 범죄자를 살해한 사람은?,신간선 호송 중 살해한 범인은?,신간선 호송에서 피의자를 살해한 사람은?,스포츠 신문을 들고 있던 아카시 아키라씨야.
141,신문 만으로 화장실을 연상하게 할 수 있을까?,신문에 있는 글자만으로 화장실을 연상하게 할 수 있어?,신문에 있는 월드컵 글자만으로 화장실을 연상하게 할 수 있어?,신문에 있는 월드컵 글자로 화장실을 알려줄 수 있어?,아카시 씨는 폭탄 가방을 화장실에 둬서 승무원을 통해 전달될 때 화장실이라는 단어가 피의자의 머리에 입력되게 하도록 한 거지.
142,아카시 씨가 범인인 증거는?,아카시 씨가 범인인 증거가 뭐야?,아카시 씨가 범인인 증거는 뭐야?,아카시 씨가 피의자를 살해했다는 증거는 뭐야?,역에서 파는 신문과 그렇지 않은 신문의 차이로 밝혀졌어.
143,신간선 호송 살인의 범인이 피가 튀지 않게 한 트릭은?,신간선 호송의 살인사건의 범인의 몸에 피가 튀지 않은 이유는?,아카시 씨가 범인을 살해할 때 피가 튀지 않았던 이유는?,아카시 씨가 살해했음에도 피가 튀지 않은 이유는?,"피의자에게 신문을 들고 있게 한 다음 그 신문 너머로 찔렀기 때문에 피가 없었던 거고, 그 증거로 피의자의 손에는 신문 기사가 찍혀 있지."
144,아카시 씨는 왜 살해한 거야?,아카시 씨의 살해동기는 뭐야?,아카시 씨가 신간선 호송에서 살인을 저지를 이유는?,아카시 씨가 신간선 호송에서 살인을 한 이유?,동기는 마약 판매 경로를 노출시키지 않기 위한 입막음. 하지만 그 남자의 자백으로 판매 경로가 드러나고 경찰이 밀수조직을 체포하는 데에 성공했어. 덕분에 사토 형사와 다카기 형사의 목은 그럭저럭 붙어있을 수 있었으며 다행히 다카기 형사는 모리아저씨의 조수가 되지 않았지.
145,초등학교에서 친구들과 다같이 급식을 먹을 때 어때?,친구들과 초등학교 급식을 먹는 기분은 어때?,초등학생으로 급식을 먹는 기분은 어때?,초등학생 급식은 맛있어?,고등학생이 돼가지고 어린애들하고 모여서 급식이나 먹고 있어야 하다니
146,하이바라는 급식 먹는 게 어떻대?,하이바라는 급식 먹는 걸 좋아해?,하이바라는 급식 먹을 때 어때?,하이바라는 초등학교 급식이 맛있대?,하이바라가 다니던 미국학교에서는 학교 식당에서 각자 먹었기 때문에 다같이 떠들면서 식사하는 그 시간이 신기하고 재밌다나 뭐래나..
147,겐타가 집에 가서 이불을 뒤집어 쓰고 떨고 있었던 이유는 뭐야?,겐타가 학교와 집에서 이상하게 행동했던 이유는 뭐야?,겐타가 집에서 이불을 뒤집어쓰고 떨고 있는 이유는 뭐야?,겐타가 집에서도 떨고 있던 이유는 뭐야?,생명의 위협을 받고 있었대. 살인 청부업자한테서.. 우리도 같이 있다가 백화점 간판이 떨어졌었지.
148,범인이 겐타의 목숨을 노리는 이유는?,겐타가 목숨의 위협을 받는 이유는 뭐야?,겐타가 누군가에게 살해당할 위협을 받는 이유는?,겐타가 생명의 위협을 받는 이유는?,노상강도를 만났던 모양이야. 범인을 봤기 때문에 경찰에 얘기도 했고.
149,겐타가 노상강도범을 본 장소는?,겐타가 노상강도 범인을 본 장소는?,겐타가 노상강도 범인을 목격한 장소?,겐타가 노상강도 범인을 목격한 장소는 어디야?,겐타는 역 7층의 거울에 비친 범인을 보고 있었던 거야. 겐타가 갈 만한 장소로 손님 앞에 거울이 있고 쉽게 잠이 오는 장소라면 이발소 밖에 없지 않겠어?
150,진은 어떤 손으로 담배를 펴?,진은 오른손잡이야?,진은 왼손잡이야?,진은 어떤 손으로 행동해?,진은 왼손잡이야. 하이바라가 알려줬어.
151,가시라가미 숲 옆의 여관에서 일어난 살인사건의 범인은 어떤 트릭을 썼어?,가시라가미 숲 살인사건의 트릭은?,가시라가미 숲 옆의 여관에서 일어난 살인사건은 뭐야?,가시라가미 숲 근처 여관의 살인사건 트릭은 뭐야?,빨간양복을 입은 사람은 숲에서 살해하여 자살로 보이게 하고 그 시체의 배낭에 있떤 우유와 빵과 편의점 영수증은 다른 시체의 소지품으로 사건의발생 시각을 혼란스럽게 하고 알리바이를 만들기 위한 것이었지
152,가시라가미 숲 근처 범행의 범인은?,가시라가미 숲 근처의 살인사건의 범인은?,가시라가미 숲 근처에서 일어난 살인사건의 범인은?,가시라가미 숲과 근처 여관에서 일어난 사건의 범인은?,범인인 진보씨는 1억엔 공갈사건의 2인조 범인 중 한 명으로 그가 노렸던 서류가방 속에는 돈을 숨겨둔 위치를 담고 있는 신문이 있었지.
153,가시라가미 숲과 여관에서 일어난 사건의 증거는 뭐야?,가시라가미 숲과 여관에서 일어난 사건의 증거는?,가시라가미 숲 사건의 범인을 가리킨 증거는?,가시라가미 숲 근처 사건의 범인이 진보씨라는 증거가 뭐야?,여관에서는 자살로 보이기 위해 시체를 매달 때 받침대로 썼던 장기판과 책상의 지문! 그리고 모리 아저씨를 처음 봤음에도 불구하고 바로 란의 휴대폰을 전달해주었지. 그래 범인은 모리 아저씨를 만난 순간부터 알고 있었던 거야. 진짜 모리 코고로 라는 것을!
154,해바라기관 건축물에서 일어난 살인사건의 범인은 누구야?,해바라기 관에서 일어난 사건의 범인?,해바라기 관에서 일어난 사건의 범인은 누구야?,해바라기관에서 일어난 살인사건의 범인은?,"아마모리씨야. 숯을 가지러 간다고 하고 7시 25분쯤 뒤쪽으로 갔어. 낚시줄을 꺼내고 준비를 한 후 아무렇지도 않게 파티로 돌아왔지. 범행이 일어나는 시간은 10분 정도 뿐. 그렇다면, 총성이 울린 7시 35분부터 그전 25분사이에 파티 회장을 빠져나간 아마모리 씨 밖에 범인이라고 생각할 수 밖에 없어."
155,카나자와 류이치로를 살해한 범인의 동기는?,류이치로를 살해한 범인의 동기는 뭐야?,카나자와 류이치로를 살해한 범행동기는?,카나자와 류이치로를 살해한 범인의 동기?,상하이 현대 미술관을 설계한 건 범인인 아마모리 씨였다고 해. 그의 디자인을 도작하자 그는 정식으로는 이길 수 없다는 것을 알고서 스토커 소동도 일으켰었어.
156,이즈의 해변에서 살해당한 사람은 누구야?,이즈 해변에서 살해당한 사람은?,이즈해변에서 살해당한 어부는?,이즈해변에서 살해당한 어부는 누구야,아라마키 씨는 파도를 맞으며 해변에서 이미 죽어있었어.
